                  id                  |   country   |        state        |            county             |            city            | longitude | latitude |              parent_id               
--------------------------------------+-------------+---------------------+-------------------------------+----------------------------+-----------+----------+--------------------------------------
 3453dce8-d1a8-4057-bd6d-db872889eebf | Deutschland | Niedersachsen       | Landkreis Oldenburg           |                            |     8.382 |   52.985 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 716d268e-6dd9-4d02-a15c-4bec9f582c00 | Deutschland |                     |                               |                            |    10.423 |   51.083 | 
 4478acee-0196-4b69-9cde-6a5806d09ae4 | Deutschland | Niedersachsen       |                               |                            |     9.076 |   52.840 | 716d268e-6dd9-4d02-a15c-4bec9f582c00
 b228c821-4cf9-439c-8dd1-49bd1e03a4e1 | Deutschland | Niedersachsen       | Landkreis Diepholz            |                            |     8.762 |   52.748 | 4478acee-0196-4b69-9cde-6a5806d09ae4
 33698a4b-ef46-4643-9db2-cc519c095354 | Deutschland | Niedersachsen       | Landkreis Diepholz            | Hüde                       |     8.359 |   52.496 | b228c821-4cf9-439c-8dd1-49bd1e03a4e1
 23b9eb6e-e78b-4cf1-b048-3aeca5e48da1 | Deutschland | Niedersachsen       | Landkreis Oldenburg           | Großenkneten               |     8.251 |   52.942 | 3453dce8-d1a8-4057-bd6d-db872889eebf
 cae1ef88-066d-48d7-97c2-d4605ad976bd | Deutschland | Niedersachsen       | Landkreis Osnabrück           | Bramsche                   |     7.980 |   52.408 | b9c185e2-102e-4a34-b469-ccaf55c69b17
 0c31eb9f-0aae-4cd2-8466-bd508923d2ec | Deutschland | Nordrhein-Westfalen |                               |                            |     7.554 |   51.479 | 716d268e-6dd9-4d02-a15c-4bec9f582c00
 3b43203d-bba0-499f-8bb9-039f4a8b0fa6 | Deutschland | Nordrhein-Westfalen | Kreis Coesfeld                |                            |     7.321 |   51.864 | 0c31eb9f-0aae-4cd2-8466-bd508923d2ec
 bdf27ac2-3c78-48e5-9ca0-8fc311211b5f | Deutschland | Nordrhein-Westfalen | Kreis Coesfeld                | Nottuln                    |     7.353 |   51.930 | 3b43203d-bba0-499f-8bb9-039f4a8b0fa6
 42e3add8-d01b-4c45-ba3a-cc2bd062841c | Deutschland | Nordrhein-Westfalen | Kreis Coesfeld                | Senden                     |     7.488 |   51.855 | 3b43203d-bba0-499f-8bb9-039f4a8b0fa6
